id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3168,TudorStudio,3697,Mark,,Brighton,42.35148,-71.19319,Private room,99,91,0,,,1,288,0,
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,132,32,23,2022-05-29,0.26,1,168,2,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,149,3,113,2022-07-11,0.69,10,45,5,Approved by the government
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,179,3,119,2022-09-10,0.75,10,59,4,STR446650
7903,"Colorful, modern 2 BR apt shared with host",14169,Stacy,,Charlestown,42.39031,-71.09361,Private room,116,4,295,2022-09-06,1.84,1,9,17,
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,Allston,42.38258,-71.13646,Entire home/apt,300,2,50,2022-08-28,0.31,2,251,5,C0121120491
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,110,91,25,2020-04-15,0.25,9,272,0,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,135,29,5,2020-12-02,0.07,11,348,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,135,33,2,2016-05-23,0.03,11,349,0,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air | Walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,133,30,52,2019-10-05,0.35,29,245,0,
19581,"Furnished suite, Windsor",74249,Marc And Patty,,Fenway,42.36258,-71.09603,Private room,199,10,8,2021-09-11,0.05,3,229,0,
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,Fenway,42.36254,-71.09698,Private room,265,5,18,2022-08-28,0.12,3,259,7,
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,227,2,99,2022-08-14,0.66,1,30,3,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,14,89,2022-08-01,0.61,1,316,7,STR-461832
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,160,29,135,2022-07-31,0.92,1,50,4,STR-409822
46534,Victorian Elegance on Union Square's Prospect Hill,208115,Bill,,Charlestown,42.38296,-71.09332,Private room,78,2,954,2022-09-11,6.50,1,174,68,
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,80,1,333,2022-08-28,2.28,6,276,2,STR-457920
55310,6 month minimum @ Brookline penthouse w/ parking,164826,Molly,,Brighton,42.33603,-71.13653,Entire home/apt,147,172,0,,,2,349,0,
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,143,2022-09-01,1.00,5,159,2,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,112,91,47,2021-12-01,0.39,9,125,1,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,120,2019-11-15,0.87,5,95,0,STR-415714
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,65,1,302,2022-07-22,2.15,6,308,20,STR-457920
106474,large furnished suite in Central sq,74249,Marc And Patty,,Fenway,42.36274,-71.09768,Private room,295,5,20,2022-05-29,0.15,3,274,4,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,Allston,42.38227,-71.13643,Entire home/apt,200,2,34,2022-08-31,0.25,2,251,13,CO121110491
151158,Lovely Sky View Boston&Cambridge,727944,Emily,,Charlestown,42.38226,-71.0995,Entire home/apt,195,28,205,2022-08-21,1.51,2,126,4,
154505,SHRINE OF THE RED DIAMOND (Trinitas - “DP”),742815,“Jon”,,Charlestown,42.38487,-71.08643,Shared room,10,91,134,2019-08-27,0.98,7,146,0,
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,264,3,242,2022-08-22,1.79,10,41,12,STR446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,80,1,108,2022-08-31,0.80,6,125,15,STR-457920
179245,Private Room & private bath in Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,75,1,64,2022-08-25,0.48,6,208,17,Exempt: This listing is a hotel or motel
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,257,29,0,,,5,90,0,
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,55,7,83,2022-05-31,0.61,1,77,10,STR-384505
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,70,30,53,2022-07-31,0.40,1,83,3,C0245420351
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,145,14,453,2022-09-11,3.41,2,224,43,STR-409453
199317,EXCELLENT 1 BED + DEN HARVARD Square,87398,Ari,,Allston,42.37975,-71.12262,Entire home/apt,236,91,14,2018-10-27,0.10,2,365,0,
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,125,3,245,2022-09-11,1.83,1,176,26,STR-414064
219956,SHRINE OF THE RED DIAMOND (Hózhóogo - “DP”),742815,“Jon”,,Charlestown,42.38589,-71.08586,Shared room,10,91,95,2019-07-14,0.71,7,146,0,
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,184,3,282,2022-09-11,2.11,1,22,26,STR-454055
222081,SHRINE OF THE RED DIAMOND (توحيد - “DP”),742815,“Jon”,,Charlestown,42.38481,-71.08436,Shared room,10,91,101,2019-06-21,0.76,7,146,0,
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,293,2,404,2022-08-30,3.27,1,225,40,STR-411297
281264,Harvard's Historic Dollhouse/pvt deck in Union Sq,1466207,Elizabeth,,Charlestown,42.38195,-71.09913,Private room,162,1,523,2022-09-12,4.09,1,0,49,
295594,"Spacious, Modern 1 bdrm + sofabed",546854,Sanjay,,Mission Hill,42.33489,-71.12652,Entire home/apt,200,32,171,2022-05-05,1.36,5,120,1,
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,248,1,119,2022-07-19,0.93,6,22,5,STR-457920
352585,Room in Sunny Brookline Apartment,1785210,Judith,,Allston,42.34749,-71.12403,Private room,95,2,112,2022-09-04,0.87,1,0,3,
370390,Your Room - 10 Min T Ride To Boston Center,1866924,David,,Charlestown,42.38333,-71.08296,Private room,46,30,142,2022-07-28,1.11,2,227,5,
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,50,1,33,2022-07-25,0.27,6,231,8,STR-457920
394462,Your Pad - 10 Min T Ride To Boston Center,1866924,David,,Charlestown,42.38319,-71.08297,Private room,46,31,78,2022-09-03,0.62,2,269,7,
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Allston,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.43,1,192,0,
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,5,355,2022-09-05,2.85,1,213,31,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.15,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.07,1,0,0,
530983,14P · The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,251,30,67,2019-10-29,0.56,29,240,0,
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,125,30,59,2022-05-31,0.58,29,334,2,
561769,12P · The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,121,30,64,2022-08-06,0.52,29,246,2,
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28834,-71.05505,Private room,175,3,98,2021-11-01,0.89,1,0,4,STR-416760
579605,230B3  · The Mayhew w/Central AC and Laundry! | 2BR 1BA w/En-Suite HdTV's | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,133,30,56,2022-08-31,0.46,29,276,1,
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,149,91,12,2017-07-05,0.10,1,0,0,
601763,"25A2 · The Alameda 2 w/AC | 2BR 1BA w/En-Suite HdTV's | Short walk to train, shops and near Faulkner!",71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,135,30,42,2022-07-13,0.63,29,288,3,
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,320,2,67,2022-08-25,0.92,5,337,19,STR-416892
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.377338,-71.063095,Entire home/apt,175,91,169,2022-02-16,1.37,1,232,1,
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,214,1,8,2022-05-30,0.11,1,154,1,STR-398090
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,Charlestown,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.12,1,365,0,
682093,"Boston Airport Subway, we're a licensed 5* Airbnb",3474193,Jez N Ken,,East Boston,42.38041,-70.99083,Private room,144,1,1100,2022-09-12,9.04,4,327,101,
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37926,-71.06364,Entire home/apt,207,2,395,2022-09-14,3.27,1,232,21,STR-401905
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,,Allston,42.39346,-71.13137,Entire home/apt,226,2,322,2022-08-12,2.66,1,139,39,C0262370491
742574,See Yourself in Central Square,1152305,Greg,,Allston,42.36545,-71.10268,Entire home/apt,160,30,128,2022-06-15,1.08,4,90,1,
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30702,-71.11283,Entire home/apt,657,4,70,2020-10-05,0.61,1,290,0,STR-454183
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29239,-71.13193,Private room,25,91,5,2019-09-30,0.04,2,270,0,
750438,Private room/bath 7 min to subway verdant/peaceful,3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,88,3,227,2022-09-10,2.01,1,41,19,STR-465441
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,1.66,1,345,0,STR-397984
766700,"N4 Little Italy, Historic, Freedom Trail,TD Garden",3637081,Sarah,,North End,42.3657,-71.05618,Entire home/apt,195,1,619,2022-09-01,5.47,13,0,97,Exempt: This listing is a unit used for furnished institutional or business stays
789843,One Bedroom Condo with Private Roof Deck,4161865,Ally,,Back Bay,42.35244,-71.0852,Entire home/apt,248,2,25,2022-09-08,0.26,1,68,23,STR-467813
801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,Terry,,Roxbury,42.32795,-71.09412,Entire home/apt,166,3,63,2022-06-25,0.53,10,23,6,STR446651
815639,"N1 Lil Italy, Historic, Freedom Trail, TD Garden",3637081,Sarah,,North End,42.36695,-71.05601,Entire home/apt,185,1,729,2022-08-30,6.45,13,184,113,STR-445691
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,429,6,79,2022-04-19,0.69,2,0,1,STR-411359
849408,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,Damon,,Roslindale,42.29038,-71.13919,Entire home/apt,499,7,77,2020-08-16,0.73,1,209,0,STR-403983
860634,Home on quiet street near Harvard,4507945,Deborah,,Allston,42.38373,-71.11424,Private room,70,3,476,2022-07-20,4.15,1,79,23,
863788,"Walk everywhere! South End w/Roof deck. 2BR, 2bath",775932,Andy & Daljit,,South End,42.344162,-71.070381,Entire home/apt,539,3,15,2022-05-30,0.13,1,1,5,STR-397937
869353,Oceanfront Home minutes from Boston,4580150,Mark,,East Boston,42.40038,-70.9847,Entire home/apt,369,5,66,2022-05-29,0.58,1,351,4,
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.3665,-71.05296,Entire home/apt,145,2,549,2022-08-29,4.75,1,39,82,STR-400168
894539,Private room in house,4762495,Jennifer,,Roslindale,42.29017,-71.13169,Private room,90,7,63,2022-08-30,0.58,2,198,1,STR-408484
910408,School Term Housing in Mid Cambridge MA!,4883794,Melissa,,Allston,42.37136,-71.10781,Entire home/apt,100,30,7,2022-05-14,0.06,1,24,1,
916123,"N3 Little Italy Historic, Freedom Trail, TD Garden",3637081,Sarah,,North End,42.36541,-71.05404,Entire home/apt,205,1,718,2022-08-28,6.27,13,182,110,STR-445691
930906,"Room 10 at Coolidge Corner, Brookli",5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,90,3,19,2022-07-31,0.19,13,200,1,
931151,"room 1at Coolidge corner, Brookline",5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,125,2,36,2022-05-13,0.40,13,320,6,
931260,Grad pad #12 at Coolidge Corner,5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,90,3,9,2021-12-13,0.10,13,258,2,
931295,"room 3at Coolidge corner, Brookline",5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,128,2,19,2022-08-28,0.17,13,271,4,
931311,"rm 11 at Coolidge corner, Brookline",5014042,Yue Jin,,Allston,42.33949,-71.12628,Private room,90,3,14,2022-07-29,0.18,13,85,1,
931314,"Grad pad #9 at Coolidge Corner,",5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,90,3,22,2022-05-31,0.19,13,226,1,
977860,Bedroom near Longwood Hospitals w/private balcony.,5350366,Scott,,Mission Hill,42.33485,-71.11525,Private room,50,91,27,2020-01-31,0.25,2,258,0,
978507,"room 6 at Coolidge Corner, Brooklin",5014042,Yue Jin,,Allston,42.34044,-71.12589,Private room,85,3,20,2022-08-31,0.18,13,267,1,
984992,Home Away from Home BED and BATH,342545,Anjana And Karthik,,Charlestown,42.38915,-71.09166,Private room,51,91,38,2017-12-19,0.33,4,215,0,
989163,"The Dalton | The Upton, South End",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,220,1,67,2022-07-10,0.61,7,13,7,Exempt: This listing is a hotel or motel
